No.;Time;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;Delay;Delay 1;Delay 2;Jitter
2478;39,720851;31.13.68.60;192.168.1.9;TCP;56;443  >  49703 [ACK] Seq=3253 Ack=385 Win=546 Len=0;;;39,720851;39,754585;0,033734;-1,335739;1,369473;2,705212
2479;39,754585;192.168.1.9;31.13.68.60;TCP;54;49703  >  443 [ACK] Seq=385 Ack=3253 Win=2479 Len=0;;;39,754585;41,124058;1,369473;1,314828;0,054645;-1,260183
2480;41,124058;31.13.68.60;192.168.1.9;TLSv1.2;232;Application Data;;;41,124058;41,178703;0,054645;-3,28562;3,340265;6,625885
2481;41,178703;192.168.1.9;31.13.68.60;TCP;54;49703  >  443 [ACK] Seq=385 Ack=3431 Win=2484 Len=0;;;41,178703;44,518968;3,340265;3,308469;0,031796;-3,276673
2729;44,518968;192.168.1.9;20.197.71.89;TLSv1.2;153;Application Data;;;44,518968;44,550764;0,031796;-0,023425;0,055221;0,078646
2730;44,550764;20.197.71.89;192.168.1.9;TLSv1.2;174;Application Data;;;44,550764;44,605985;0,055221;-24,486314;24,541535;49,027849
2731;44,605985;192.168.1.9;20.197.71.89;TCP;54;49708  >  443 [ACK] Seq=100 Ack=121 Win=515 Len=0;;;44,605985;69,14752;24,541535;24,53903;0,002505;-24,536525
3963;69,14752;192.168.1.9;31.13.68.60;TLSv1.2;93;Application Data;;;69,14752;69,150025;0,002505;-0,016552;0,019057;0,035609
3964;69,150025;192.168.1.9;31.13.68.60;TLSv1.2;94;Application Data;;;69,150025;69,169082;0,019057;0,019057;0;-0,019057
3965;69,169082;31.13.68.60;192.168.1.9;TCP;56;443  >  49703 [ACK] Seq=3431 Ack=424 Win=546 Len=0;;;69,169082;69,169082;0;0;0;0
3966;69,169082;31.13.68.60;192.168.1.9;TCP;56;443  >  49703 [ACK] Seq=3431 Ack=464 Win=546 Len=0;;;69,169082;69,169082;0;-0,052115;0,052115;0,10423
3967;69,169082;31.13.68.60;192.168.1.9;TLSv1.2;93;Application Data;;;69,169082;69,221197;0,052115;-0,075582;0,127697;0,203279
3968;69,221197;192.168.1.9;31.13.68.60;TCP;54;49703  >  443 [ACK] Seq=464 Ack=3470 Win=2484 Len=0;;;69,221197;69,348894;0,127697;0,127262;0,000435;-0,126827
3969;69,348894;31.13.68.60;192.168.1.9;TLSv1.2;101;Application Data;;;69,348894;69,349329;0,000435;0,0003;0,000135;-0,000165
3970;69,349329;192.168.1.9;31.13.68.60;TLSv1.2;89;Application Data;;;69,349329;69,349464;0,000135;-0,018353;0,018488;0,036841
3971;69,349464;192.168.1.9;31.13.68.60;TLSv1.2;89;Application Data;;;69,349464;69,367952;0,018488;-4,986575;5,005063;9,991638
3972;69,367952;31.13.68.60;192.168.1.9;TCP;56;443  >  49703 [ACK] Seq=3517 Ack=534 Win=546 Len=0;;;69,367952;74,373015;5,005063;4,980728;0,024335;-4,956393
3973;74,373015;192.168.1.9;172.217.194.188;TCP;55;[TCP Keep-Alive] 49717  >  5228 [ACK] Seq=1 Ack=1 Win=511 Len=1;;;74,373015;74,39735;0,024335;-1,690787;1,715122;3,405909
3974;74,39735;172.217.194.188;192.168.1.9;TCP;66;[TCP Keep-Alive ACK] 5228  >  49717 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2;;;74,39735;76,112472;1,715122;1,609667;0,105455;-1,504212
4439;76,112472;192.168.1.9;40.79.189.59;TCP;54;49832  >  443 [FIN, ACK] Seq=1 Ack=1 Win=1021 Len=0;;;76,112472;76,217927;0,105455;0,105344;0,000111;-0,105233
4440;76,217927;40.79.189.59;192.168.1.9;TCP;54;443  >  49832 [FIN, ACK] Seq=1 Ack=2 Win=2047 Len=0;;;76,217927;76,218038;0,000111;-6,89207;6,892181;13,784251
4441;76,218038;192.168.1.9;40.79.189.59;TCP;54;49832  >  443 [ACK] Seq=2 Ack=2 Win=1021 Len=0;;;76,218038;83,110219;6,892181;6,891753;0,000428;-6,891325
4442;83,110219;31.13.68.60;192.168.1.9;TLSv1.2;151;Application Data;;;83,110219;83,110647;0,000428;0,00032;0,000108;-0,000212
4443;83,110647;192.168.1.9;31.13.68.60;TLSv1.2;89;Application Data;;;83,110647;83,110755;0,000108;-0,018431;0,018539;0,03697
4444;83,110755;192.168.1.9;31.13.68.60;TLSv1.2;89;Application Data;;;83,110755;83,129294;0,018539;-20,748822;20,767361;41,516183
4445;83,129294;31.13.68.60;192.168.1.9;TCP;56;443  >  49703 [ACK] Seq=3614 Ack=604 Win=546 Len=0;;;83,129294;103,896655;20,767361;20,765665;0,001696;-20,763969
5141;103,896655;31.13.68.60;192.168.1.9;TLSv1.2;151;Application Data;;;103,896655;103,898351;0,001696;0,000971;0,000725;-0,000246
5142;103,898351;192.168.1.9;31.13.68.60;TLSv1.2;89;Application Data;;;103,898351;103,899076;0,000725;-0,017574;0,018299;0,035873
5143;103,899076;192.168.1.9;31.13.68.60;TLSv1.2;89;Application Data;;;103,899076;103,917375;0,018299;-0,157016;0,175315;0,332331
